case_id,activity,timestamp,cost,co2,energy
O1,Rohmaterial prüfen,2024-01-01 06:06:00,22.483570765056164,0.36173569882881534,3.295377076201385
O1,Fräsen Maschine B,2024-01-01 06:36:00,187.61514928204014,19.765846625276666,39.53172608610164
O1,Qualitätskontrolle,2024-01-01 08:06:00,37.896064077536955,1.767434729152909,2.0610512281300957
O1,Lackieren Ofen,2024-01-01 08:36:00,202.7128002179298,59.53658230718754,119.06854049285948
O1,Verpacken Recycling,2024-01-01 10:36:00,51.20981135783017,0.0,1.5501643349739345
O1,Versand Standard,2024-01-01 11:06:00,97.18856235379513,28.987168879665575,0.6284946651905478
O2,Rohmaterial prüfen,2024-01-01 06:12:00,15.459879622393945,0.0,4.931297537843108
O2,Fräsen Maschine A,2024-01-01 06:42:00,148.87111849756732,40.067528204687925,77.15050362757309
O2,Qualitätskontrolle,2024-01-01 08:42:00,27.278086377374088,1.110922589709866,0.6980128451553944
O2,Lackieren Ofen,2024-01-01 09:12:00,201.87849009172837,59.3993613100812,119.41661250041345
O2,Verpacken Standard,2024-01-01 11:12:00,36.991466938853016,6.852278184508938,7.973005550524132
O2,Versand Express,2024-01-01 11:42:00,244.7114453552205,90.82254491210318,0.0
O3,Rohmaterial prüfen,2024-01-01 06:18:00,21.044317975023777,0.0,0.0
O3,Fräsen Maschine A,2024-01-01 06:48:00,150.98430617934562,40.73846657999541,80.34273656237994
O3,Qualitätskontrolle,2024-01-01 08:48:00,29.421758588058797,0.6988963044107113,0.04295601926514525
O3,Lackieren Ofen,2024-01-01 09:18:00,196.40077895802645,59.53936122904021,122.11424445243783
O3,Verpacken Standard,2024-01-01 11:18:00,41.718091447842305,3.236959844637266,8.648167938789591
O3,Versand Express,2024-01-01 11:48:00,248.07458859791842,89.32307799969404,1.2233525776817358
O4,Rohmaterial prüfen,2024-01-01 06:24:00,25.154997612479754,1.4312801191161986,0.3215649535547229
O4,Fräsen Maschine A,2024-01-01 06:54:00,148.4539381207439,40.33126343140356,81.95109025424472
O4,Qualitätskontrolle,2024-01-01 08:54:00,27.60412881077355,0.8143410233361829,0.7873300519879436
O4,Lackieren Ofen,2024-01-01 09:24:00,194.01896687959663,60.8125258223942,122.71248005714165
O4,Verpacken Standard,2024-01-01 11:24:00,39.63994939209833,6.003532897892024,8.723272050095268
O4,Versand Express,2024-01-01 11:54:00,246.7744012269744,90.36139560550842,3.0760731329319384
O5,Rohmaterial prüfen,2024-01-01 06:30:00,19.820869804450243,2.064643655814006,0.0
